age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
41.0,0,0,1,no,no,19965.0,lt high school,,self-employed,0,very happy,exciting
22.0,1,0,0,no,,363.0,high school,,self-employed,1,pretty happy,
36.0,1,0,0,yes,yes,,bachelor,human services/human resources,someone else,0,very happy,exciting
40.0,0,1,0,yes,,27225.0,bachelor,architecture,someone else,1,pretty happy,
63.0,1,1,0,yes,yes,,lt high school,,someone else,0,not too happy,routine
60.0,0,1,0,yes,,3267.0,high school,,someone else,0,pretty happy,
52.0,1,0,0,no,,6534.0,lt high school,,self-employed,0,pretty happy,
,0,0,1,yes,,116160.0,graduate,business administration,someone else,0,pretty happy,
58.0,0,0,1,yes,,189211.0,bachelor,engineering,someone else,0,pretty happy,
60.0,0,0,1,yes,yes,72600.0,high school,,someone else,0,very happy,exciting
69.0,0,0,1,yes,yes,11798.0,bachelor,philosophy,someone else,0,pretty happy,exciting
66.0,0,0,1,yes,,72600.0,high school,,someone else,0,very happy,
37.0,0,0,1,yes,,17242.0,high school,,someone else,0,very happy,
27.0,1,0,0,yes,no,,lt high school,,,1,pretty happy,exciting
60.0,1,0,1,yes,,72600.0,bachelor,english,someone else,0,pretty happy,
32.0,1,0,1,no,no,,high school,,someone else,0,not too happy,routine
39.0,0,0,1,no,no,32670.0,high school,,someone else,0,pretty happy,routine
56.0,0,0,1,yes,yes,,high school,,self-employed,0,pretty happy,exciting
22.0,0,0,1,yes,,,high school,,someone else,0,very happy,
35.0,0,0,0,no,no,39930.0,high school,,someone else,0,not too happy,exciting
58.0,0,0,1,yes,no,116160.0,bachelor,agriculture/horticulture,someone else,0,very happy,exciting
20.0,0,0,1,yes,,2541.0,high school,,someone else,1,pretty happy,
44.0,0,0,1,yes,yes,59895.0,graduate,urban and regional planning,someone else,0,very happy,exciting
62.0,1,0,1,yes,no,116160.0,graduate,health,someone else,0,very happy,exciting
59.0,0,0,1,yes,,11798.0,bachelor,english,someone else,1,pretty happy,
51.0,1,0,1,yes,no,32670.0,bachelor,business administration,someone else,1,pretty happy,exciting
50.0,0,0,1,yes,,,graduate,No answer,someone else,0,pretty happy,
52.0,1,0,1,yes,no,3267.0,high school,,self-employed,0,very happy,routine
64.0,1,0,1,yes,no,,high school,,someone else,1,very happy,routine
62.0,1,1,0,yes,yes,8168.0,graduate,business administration,someone else,1,pretty happy,exciting
35.0,1,0,0,no,no,19965.0,bachelor,art,someone else,0,pretty happy,exciting
60.0,0,0,1,yes,,59895.0,junior college,engineering,someone else,0,pretty happy,
36.0,1,1,0,yes,no,49005.0,junior college,theater arts,someone else,0,pretty happy,routine
30.0,0,0,1,yes,yes,49005.0,high school,,someone else,0,pretty happy,exciting
27.0,0,0,1,yes,,32670.0,high school,,someone else,0,pretty happy,
60.0,1,0,1,yes,yes,39930.0,high school,,someone else,0,pretty happy,exciting
42.0,1,0,1,yes,,32670.0,high school,,someone else,0,not too happy,
47.0,0,0,1,yes,yes,8168.0,high school,,self-employed,0,very happy,routine
41.0,1,0,0,no,yes,189211.0,graduate,medicine,someone else,0,very happy,exciting
47.0,1,0,1,no,,,graduate,counseling,someone else,0,very happy,
64.0,0,0,1,yes,no,,high school,,someone else,0,very happy,exciting
61.0,1,0,1,no,,,high school,,someone else,0,pretty happy,
31.0,0,1,0,yes,,39930.0,high school,,someone else,0,very happy,
